cost_id,company_id,construction_costs,construction_costs_currency,aisc_last_quarter,aisc_last_quarter_currency,aisc_last_year,aisc_last_year_currency,aisc_future,aisc_future_currency,aic_last_quarter,aic_last_quarter_currency,aic_last_year,aic_last_year_currency,tco_current,tco_current_currency,tco_future,tco_future_currency,last_updated
1,132,340500000.0,USD,,,,,752.0,USD,,,,,,,600.0,USD,2025-03-23T12:42:00.000Z
2,4,300000000.0,USD,,,,,818.0,USD,,,,,,,742.0,USD,2024-07-27T20:23:00.000Z
3,3,1800000000.0,USD,,,,,1191.0,USD,,,,,,,964.0,USD,2024-07-27T20:22:00.000Z
4,2,,,,,,,,,,,,,,,,,2024-07-27T20:21:00.000Z
5,1,,,,,,,,,,,,,,,,,2024-07-27T20:20:00.000Z
8,7,,,1350.0,USD,1300.0,USD,1275.0,USD,,,,,1100.0,USD,1050.0,USD,2024-07-27T20:25:00.000Z
9,501,,,,,,,,,,,,,,,,,2025-03-25T03:20:00.000Z
10,8,,,,,,,,,,,,,,,,,2024-07-27T20:26:00.000Z
11,9,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
12,10,,,1179.0,USD,1179.0,USD,1225.0,USD,,,,,865.0,USD,900.0,USD,2025-03-20T00:00:00.000Z
13,11,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
14,12,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
15,13,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
16,14,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
17,15,,,20.02,USD,21.73,USD,19.5,USD,,,,,13.49,USD,12.8,USD,2025-03-20T00:00:00.000Z
18,16,,,,,1700.0,USD,1650.0,USD,,,,,1400.0,USD,1350.0,USD,2025-03-20T00:00:00.000Z
19,17,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
20,18,,,26.2,USD,26.2,USD,,,,,,,21.5,USD,,,2025-03-20T00:00:00.000Z
21,19,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
22,20,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
23,21,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
24,22,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
25,23,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
26,24,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
27,25,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
28,26,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
29,27,75000000.0,USD,,,,,950.0,USD,,,,,,,850.0,USD,2025-03-21T00:00:00.000Z
30,28,,,,,,,850.0,USD,,,,,,,750.0,USD,2025-03-21T00:00:00.000Z
31,29,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
32,30,,,2139.0,USD,2015.0,USD,1900.0,USD,2300.0,USD,2200.0,USD,1800.0,USD,1750.0,USD,2025-03-21T00:00:00.000Z
33,31,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
34,32,,,1434.0,USD,1434.0,USD,1275.0,USD,,,,,1200.0,USD,,,2025-03-21T00:00:00.000Z
35,33,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
36,34,730000000.0,CAD,,,,,561.0,USD,,,,,,,500.0,USD,2025-03-21T00:00:00.000Z
37,35,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
38,36,,,2811.0,USD,2811.0,USD,1450.0,USD,,,,,2200.0,USD,,,2025-03-21T00:00:00.000Z
39,37,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
40,38,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
41,39,,,1175.0,USD,1175.0,USD,1150.0,USD,,,,,900.0,USD,875.0,USD,2025-03-21T00:00:00.000Z
42,40,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
43,41,,,,,,,1200.0,USD,,,,,,,900.0,USD,2025-03-21T00:00:00.000Z
44,42,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
45,43,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
46,44,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
48,46,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
49,47,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
50,48,,,,,16.0,USD,14.0,USD,,,,,13.0,USD,,,2025-03-21T00:00:00.000Z
51,49,,,18.62,USD,18.62,USD,,,,,,,15.0,USD,,,2025-03-21T00:00:00.000Z
52,50,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
53,51,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
54,52,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
55,53,,,,,,,,,,,,,,,,,2025-03-21T21:00:00.000Z
56,54,,,,,,,,,,,,,,,,,2025-03-21T21:00:00.000Z
57,55,,,1697.0,USD,1769.0,USD,1750.0,USD,,,,,1285.0,USD,,,2025-03-21T21:00:00.000Z
58,56,,,,,,,,,,,,,,,,,2025-03-21T21:06:00.000Z
59,57,,,,,,,,,,,,,,,,,2025-03-21T21:18:00.000Z
60,58,,,,,,,,,,,,,,,,,2025-03-21T21:00:00.000Z
61,59,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
62,60,,,,,,,,,,,,,,,,,2025-03-21T21:17:00.000Z
63,61,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
64,62,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
65,63,,,,,1500.0,USD,1400.0,USD,,,,,1200.0,USD,1100.0,USD,2025-03-22T00:00:00.000Z
66,64,,,,,,,,,,,,,,,,,2025-03-21T00:00:00.000Z
67,65,,,,,,,,,,,,,,,,,2025-03-20T00:00:00.000Z
68,66,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
69,67,300000000.0,USD,,,,,850.0,USD,,,,,,,700.0,USD,2025-03-22T00:00:00.000Z
70,68,,,1345.0,USD,1300.0,USD,1390.0,USD,,,,,1150.0,USD,1100.0,USD,2025-03-22T00:00:00.000Z
